"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000000001	022000.000	001.346120	-0.306155	7.365150e-07	0.0e+00	00:00:00.000"
"000000002	022000.075	001.336400	-0.303900	7.293964e-07	0.0e+00	00:00:00.156"
"000000003	022000.150	001.355474	-0.301105	7.375566e-07	0.0e+00	00:00:00.313"
"000000004	022000.225	001.326615	-0.298915	7.201370e-07	0.0e+00	00:00:00.469"
"000000005	022000.300	001.320163	-0.297102	7.152272e-07	0.0e+00	00:00:00.625"
"000000006	022000.375	001.294019	-0.294554	6.991329e-07	0.0e+00	00:00:00.781"
"000000007	022000.450	001.324799	-0.291965	7.137655e-07	0.0e+00	00:00:00.938"
"000000008	022000.525	001.221288	-0.290097	6.566747e-07	0.0e+00	00:00:01.094"
"000000009	022000.600	001.292928	-0.288754	6.941926e-07	0.0e+00	00:00:01.250"
"000000010	022000.675	001.323929	-0.286703	7.092757e-07	0.0e+00	00:00:01.406"
"000000011	022000.750	001.259282	-0.283972	6.726730e-07	0.0e+00	00:00:01.563"
"000000012	022000.825	001.256950	-0.281749	6.698363e-07	0.0e+00	00:00:01.719"
"000000013	022000.900	001.297339	-0.280351	6.903318e-07	0.0e+00	00:00:01.875"
"000000014	022000.975	001.261499	-0.278151	6.696926e-07	0.0e+00	00:00:02.016"
"000000015	022001.050	001.299383	-0.275245	6.876826e-07	0.0e+00	00:00:02.172"
"000000016	022001.125	001.350544	-0.272609	7.127697e-07	0.0e+00	00:00:02.328"
"000000017	022001.200	001.368858	-0.271215	7.213745e-07	0.0e+00	00:00:02.485"
"000000018	022001.275	001.327680	-0.268824	6.979152e-07	0.0e+00	00:00:02.641"
"000000019	022001.350	001.277916	-0.266242	6.699376e-07	0.0e+00	00:00:02.797"
"000000020	022001.425	001.297385	-0.264343	6.787921e-07	0.0e+00	00:00:02.953"
"000000021	022001.500	001.244636	-0.262943	6.502417e-07	0.0e+00	00:00:03.110"
"000000022	022001.575	001.233543	-0.260719	6.429519e-07	0.0e+00	00:00:03.266"
"000000023	022001.650	001.231584	-0.258140	6.402094e-07	0.0e+00	00:00:03.422"
"000000024	022001.725	001.231841	-0.255789	6.387818e-07	0.0e+00	00:00:03.578"
"000000025	022001.800	001.224098	-0.253783	6.334492e-07	0.0e+00	00:00:03.735"
"000000026	022001.875	001.315981	-0.251388	6.793126e-07	0.0e+00	00:00:03.891"
"000000027	022001.950	001.265332	-0.249030	6.515818e-07	0.0e+00	00:00:04.047"
"000000028	022002.025	001.310054	-0.246799	6.730645e-07	0.0e+00	00:00:04.188"
"000000029	022002.100	001.284195	-0.245168	6.586754e-07	0.0e+00	00:00:04.344"
"000000030	022002.175	001.206629	-0.243357	6.177433e-07	0.0e+00	00:00:04.500"
"000000031	022002.250	001.200544	-0.241062	6.131870e-07	0.0e+00	00:00:04.656"
"000000032	022002.325	001.173732	-0.238862	5.981483e-07	0.0e+00	00:00:04.813"
"000000033	022002.400	001.302204	-0.237139	6.624558e-07	0.0e+00	00:00:04.969"
"000000034	022002.475	001.166745	-0.235120	5.923288e-07	0.0e+00	00:00:05.125"
"000000035	022002.550	001.289019	-0.233019	6.530110e-07	0.0e+00	00:00:05.281"
"000000036	022002.625	001.200197	-0.230277	6.063296e-07	0.0e+00	00:00:05.438"
"000000037	022002.700	001.200723	-0.228289	6.053792e-07	0.0e+00	00:00:05.594"
"000000038	022002.775	001.073314	-0.226822	5.403436e-07	0.0e+00	00:00:05.750"
"000000039	022002.850	001.153173	-0.224471	5.791760e-07	0.0e+00	00:00:05.906"
"000000040	022002.925	001.116625	-0.222460	5.596890e-07	0.0e+00	00:00:06.063"
"000000041	022003.000	001.047766	-0.220813	5.243097e-07	0.0e+00	00:00:06.203"
"000000042	022003.075	001.117456	-0.219525	5.584631e-07	0.0e+00	00:00:06.360"
"000000043	022003.150	001.068585	-0.217440	5.329278e-07	0.0e+00	00:00:06.516"
"000000044	022003.225	001.115190	-0.214830	5.547274e-07	0.0e+00	00:00:06.672"
"000000045	022003.300	001.083570	-0.212935	5.379842e-07	0.0e+00	00:00:06.828"
"000000046	022003.375	001.101644	-0.211456	5.461559e-07	0.0e+00	00:00:06.985"
