"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000000001	022000.000	001.252460	-0.261811	6.535558e-07	0.0e+00	00:00:00.000"
"000000002	022000.075	001.189000	-0.259858	6.191791e-07	0.0e+00	00:00:00.172"
"000000003	022000.150	001.217945	-0.257694	6.328266e-07	0.0e+00	00:00:00.328"
"000000004	022000.225	001.182261	-0.255392	6.128194e-07	0.0e+00	00:00:00.485"
"000000005	022000.300	001.236259	-0.253057	6.392617e-07	0.0e+00	00:00:00.656"
"000000006	022000.375	001.253311	-0.250848	6.466018e-07	0.0e+00	00:00:00.813"
"000000007	022000.450	001.234677	-0.249129	6.358605e-07	0.0e+00	00:00:00.969"
"000000008	022000.525	001.114152	-0.247166	5.726317e-07	0.0e+00	00:00:01.141"
"000000009	022000.600	001.266587	-0.244720	6.493449e-07	0.0e+00	00:00:01.297"
"000000010	022000.675	001.125650	-0.242750	5.759271e-07	0.0e+00	00:00:01.453"
"000000011	022000.750	001.184301	-0.241118	6.049258e-07	0.0e+00	00:00:01.625"
"000000012	022000.825	001.200405	-0.239263	6.119912e-07	0.0e+00	00:00:01.781"
"000000013	022000.900	001.140042	-0.236616	5.796521e-07	0.0e+00	00:00:01.953"
"000000014	022000.975	001.108578	-0.233924	5.621160e-07	0.0e+00	00:00:02.110"
"000000015	022001.050	001.129496	-0.232250	5.717520e-07	0.0e+00	00:00:02.281"
"000000016	022001.125	001.121958	-0.230082	5.666921e-07	0.0e+00	00:00:02.438"
"000000017	022001.200	001.132182	-0.227657	5.704592e-07	0.0e+00	00:00:02.594"
"000000018	022001.275	001.159120	-0.225403	5.827085e-07	0.0e+00	00:00:02.750"
"000000019	022001.350	001.158217	-0.223905	5.813787e-07	0.0e+00	00:00:02.922"
"000000020	022001.425	001.019352	-0.222318	5.108599e-07	0.0e+00	00:00:03.078"
"000000021	022001.500	001.116073	-0.220131	5.581096e-07	0.0e+00	00:00:03.235"
"000000022	022001.575	001.107527	-0.217717	5.525023e-07	0.0e+00	00:00:03.406"
"000000023	022001.650	001.023430	-0.215474	5.094096e-07	0.0e+00	00:00:03.563"
"000000024	022001.725	001.116481	-0.213657	5.547218e-07	0.0e+00	00:00:03.719"
"000000025	022001.800	001.086793	-0.211766	5.389588e-07	0.0e+00	00:00:03.891"
"000000026	022001.875	001.074012	-0.209631	5.314952e-07	0.0e+00	00:00:04.047"
"000000027	022001.950	001.014683	-0.207338	5.009981e-07	0.0e+00	00:00:04.203"
"000000028	022002.025	001.027334	-0.205333	5.062418e-07	0.0e+00	00:00:04.360"
"000000029	022002.100	001.008281	-0.203369	4.958935e-07	0.0e+00	00:00:04.531"
"000000030	022002.175	001.023726	-0.201341	5.024874e-07	0.0e+00	00:00:04.688"
"000000031	022002.250	000.982030	-0.198848	4.808443e-07	0.0e+00	00:00:04.844"
"000000032	022002.325	001.067536	-0.196773	5.216515e-07	0.0e+00	00:00:05.016"
"000000033	022002.400	001.054369	-0.194974	5.143131e-07	0.0e+00	00:00:05.172"
"000000034	022002.475	001.039572	-0.193222	5.062299e-07	0.0e+00	00:00:05.328"
"000000035	022002.550	000.997660	-0.190932	4.847392e-07	0.0e+00	00:00:05.500"
"000000036	022002.625	000.918667	-0.188724	4.454029e-07	0.0e+00	00:00:05.656"
"000000037	022002.700	000.993807	-0.186885	4.809761e-07	0.0e+00	00:00:05.813"
"000000038	022002.775	000.939442	-0.185293	4.539651e-07	0.0e+00	00:00:05.985"
"000000039	022002.850	001.011222	-0.183401	4.877595e-07	0.0e+00	00:00:06.141"
"000000040	022002.925	000.982936	-0.181581	4.732847e-07	0.0e+00	00:00:06.313"
"000000041	022003.000	000.909745	-0.179358	4.371072e-07	0.0e+00	00:00:06.422"
"000000042	022003.075	000.927944	-0.177414	4.450204e-07	0.0e+00	00:00:06.625"
"000000043	022003.150	001.022552	-0.175473	4.894808e-07	0.0e+00	00:00:06.797"
"000000044	022003.225	000.921044	-0.173280	4.399668e-07	0.0e+00	00:00:06.953"
"000000045	022003.300	000.943848	-0.171221	4.499749e-07	0.0e+00	00:00:07.110"
"000000046	022003.375	000.830264	-0.169294	3.950982e-07	0.0e+00	00:00:07.281"
"000000047	022003.450	000.935073	-0.167626	4.442684e-07	0.0e+00	00:00:07.438"
"000000048	022003.525	000.927050	-0.165896	4.397337e-07	0.0e+00	00:00:07.594"
"000000049	022003.600	000.865327	-0.163951	4.096998e-07	0.0e+00	00:00:07.766"
"000000050	022003.675	000.897417	-0.162182	4.241833e-07	0.0e+00	00:00:07.922"
"000000051	022003.750	000.893753	-0.160479	4.217725e-07	0.0e+00	00:00:08.078"
"000000052	022003.825	000.821679	-0.158920	3.871898e-07	0.0e+00	00:00:08.250"
"000000053	022003.900	000.906438	-0.157064	4.263841e-07	0.0e+00	00:00:08.406"
"000000054	022003.975	000.872512	-0.154971	4.096186e-07	0.0e+00	00:00:08.563"
"000000055	022004.050	000.822590	-0.153523	3.856575e-07	0.0e+00	00:00:08.735"
"000000056	022004.125	000.845480	-0.151707	3.957155e-07	0.0e+00	00:00:08.891"
"000000057	022004.200	000.861522	-0.149541	4.024078e-07	0.0e+00	00:00:09.047"
"000000058	022004.275	000.719780	-0.147965	3.357075e-07	0.0e+00	00:00:09.219"
"000000059	022004.350	000.732243	-0.146644	3.410997e-07	0.0e+00	00:00:09.375"
"000000060	022004.425	000.727551	-0.144738	3.383132e-07	0.0e+00	00:00:09.531"
"000000061	022004.500	000.826169	-0.143281	3.836510e-07	0.0e+00	00:00:09.703"
"000000062	022004.575	000.724255	-0.142007	3.359273e-07	0.0e+00	00:00:09.860"
"000000063	022004.650	000.825840	-0.140026	3.823427e-07	0.0e+00	00:00:10.016"
"000000064	022004.725	000.654503	-0.138778	3.026681e-07	0.0e+00	00:00:10.188"
"000000065	022004.800	000.829764	-0.137348	3.832090e-07	0.0e+00	00:00:10.344"
"000000066	022004.875	000.667950	-0.135457	3.079407e-07	0.0e+00	00:00:10.500"
"000000067	022004.950	000.775614	-0.133713	3.570026e-07	0.0e+00	00:00:10.672"
"000000068	022005.025	000.696797	-0.131980	3.202133e-07	0.0e+00	00:00:10.828"
"000000069	022005.100	000.679607	-0.130396	3.118598e-07	0.0e+00	00:00:10.985"
"000000070	022005.175	000.629543	-0.128560	2.884003e-07	0.0e+00	00:00:11.156"
"000000071	022005.250	000.649712	-0.126793	2.971590e-07	0.0e+00	00:00:11.313"
"000000072	022005.325	000.637319	-0.124869	2.909786e-07	0.0e+00	00:00:11.469"
"000000073	022005.400	000.677603	-0.123346	3.089413e-07	0.0e+00	00:00:11.641"
"000000074	022005.475	000.590992	-0.121823	2.690786e-07	0.0e+00	00:00:11.797"
"000000075	022005.550	000.672468	-0.120107	3.056969e-07	0.0e+00	00:00:11.953"
"000000076	022005.625	000.670597	-0.118486	3.043981e-07	0.0e+00	00:00:12.125"
"000000077	022005.700	000.733380	-0.117061	3.324665e-07	0.0e+00	00:00:12.281"
"000000078	022005.775	000.672806	-0.115956	3.047010e-07	0.0e+00	00:00:12.438"
"000000079	022005.850	000.604047	-0.114447	2.731879e-07	0.0e+00	00:00:12.610"
"000000080	022005.925	000.675201	-0.112662	3.048756e-07	0.0e+00	00:00:12.766"
"000000081	022006.000	000.726498	-0.110811	3.274904e-07	0.0e+00	00:00:12.922"
"000000082	022006.075	000.571830	-0.109740	2.575209e-07	0.0e+00	00:00:13.094"
"000000083	022006.150	000.621565	-0.108264	2.795470e-07	0.0e+00	00:00:13.250"
"000000084	022006.225	000.543397	-0.106210	2.439406e-07	0.0e+00	00:00:13.406"
"000000085	022006.300	000.623295	-0.104404	2.793553e-07	0.0e+00	00:00:13.578"
"000000086	022006.375	000.599624	-0.102808	2.683619e-07	0.0e+00	00:00:13.735"
"000000087	022006.450	000.551416	-0.101736	2.465503e-07	0.0e+00	00:00:13.891"
"000000088	022006.525	000.550214	-0.100124	2.456582e-07	0.0e+00	00:00:14.063"
"000000089	022006.600	000.523225	-0.098399	2.332493e-07	0.0e+00	00:00:14.219"
"000000090	022006.675	000.628669	-0.096666	2.798230e-07	0.0e+00	00:00:14.375"
"000000091	022006.750	000.651218	-0.096092	2.897115e-07	0.0e+00	00:00:14.547"
"000000092	022006.825	000.564274	-0.094971	2.507820e-07	0.0e+00	00:00:14.703"
"000000093	022006.900	000.518745	-0.093256	2.301966e-07	0.0e+00	00:00:14.860"
"000000094	022006.975	000.549386	-0.091484	2.434106e-07	0.0e+00	00:00:15.031"
"000000095	022007.050	000.505771	-0.090021	2.237965e-07	0.0e+00	00:00:15.188"
"000000096	022007.125	000.664936	-0.088821	2.939131e-07	0.0e+00	00:00:15.344"
"000000097	022007.200	000.495368	-0.087649	2.187342e-07	0.0e+00	00:00:15.516"
