"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000004108	022308.025	001.837257	0.066322	7.141512e-07	0.0e+00	00:10:57.344"
"000004109	022308.100	001.688687	0.067874	6.556106e-07	0.0e+00	00:10:57.500"
"000004110	022308.175	001.742459	0.069921	6.754130e-07	0.0e+00	00:10:57.656"
"000004111	022308.250	001.802093	0.072491	6.971394e-07	0.0e+00	00:10:57.813"
"000004112	022308.325	001.655857	0.074589	6.395298e-07	0.0e+00	00:10:57.985"
"000004113	022308.400	001.596690	0.076106	6.159565e-07	0.0e+00	00:10:58.141"
"000004114	022308.475	001.585316	0.078103	6.106277e-07	0.0e+00	00:10:58.297"
"000004115	022308.550	001.652218	0.080832	6.350622e-07	0.0e+00	00:10:58.469"
"000004116	022308.625	001.630526	0.083021	6.256715e-07	0.0e+00	00:10:58.625"
"000004117	022308.700	001.629828	0.084776	6.245623e-07	0.0e+00	00:10:58.781"
"000004118	022308.775	001.592134	0.086397	6.093607e-07	0.0e+00	00:10:58.938"
"000004119	022308.850	001.668301	0.088232	6.376166e-07	0.0e+00	00:10:59.110"
"000004120	022308.925	001.663716	0.090654	6.346892e-07	0.0e+00	00:10:59.266"
"000004121	022309.000	001.738033	0.092891	6.619107e-07	0.0e+00	00:10:59.422"
"000004122	022309.075	001.661675	0.094864	6.318810e-07	0.0e+00	00:10:59.594"
"000004123	022309.150	001.767380	0.096434	6.712757e-07	0.0e+00	00:10:59.750"
"000004124	022309.225	001.812595	0.099063	6.870766e-07	0.0e+00	00:10:59.906"
"000004125	022309.300	001.891290	0.101540	7.155631e-07	0.0e+00	00:11:00.078"
"000004126	022309.375	001.932295	0.103416	7.300405e-07	0.0e+00	00:11:00.235"
"000004127	022309.450	002.040041	0.105537	7.695148e-07	0.0e+00	00:11:00.391"
"000004128	022309.525	002.065093	0.107611	7.777478e-07	0.0e+00	00:11:00.547"
"000004129	022309.600	002.369147	0.110066	8.906123e-07	0.0e+00	00:11:00.719"
"000004130	022309.675	002.250569	0.112454	8.445199e-07	0.0e+00	00:11:00.875"
"000004131	022309.750	002.530550	0.114705	9.479810e-07	0.0e+00	00:11:01.031"
"000004132	022309.825	002.779165	0.116637	1.039611e-06	0.0e+00	00:11:01.203"
"000004133	022309.900	002.936073	0.118669	1.096638e-06	0.0e+00	00:11:01.360"
"000004134	022309.975	003.058286	0.121228	1.140107e-06	0.0e+00	00:11:01.516"
"000004135	022310.050	003.169335	0.123667	1.179360e-06	0.0e+00	00:11:01.688"
"000004136	022310.125	003.327081	0.125499	1.236374e-06	0.0e+00	00:11:01.844"
"000004137	022310.200	003.511962	0.127298	1.303335e-06	0.0e+00	00:11:02.000"
"000004138	022310.275	003.609320	0.129569	1.337212e-06	0.0e+00	00:11:02.156"
"000004139	022310.350	003.702434	0.131908	1.369337e-06	0.0e+00	00:11:02.328"
"000004140	022310.425	003.823577	0.134221	1.411725e-06	0.0e+00	00:11:02.485"
"000004141	022310.500	003.895751	0.136138	1.436340e-06	0.0e+00	00:11:02.641"
"000004142	022310.575	003.853319	0.137932	1.418819e-06	0.0e+00	00:11:02.813"
"000004143	022310.650	003.651153	0.140183	1.342155e-06	0.0e+00	00:11:02.969"
"000004144	022310.725	003.639069	0.142699	1.335243e-06	0.0e+00	00:11:03.125"
"000004145	022310.800	003.466727	0.145068	1.269800e-06	0.0e+00	00:11:03.281"
"000004146	022310.875	003.131421	0.147106	1.145273e-06	0.0e+00	00:11:03.453"
"000004147	022310.950	002.949574	0.148930	1.077329e-06	0.0e+00	00:11:03.610"
"000004148	022311.025	002.524486	0.151427	9.203864e-07	0.0e+00	00:11:03.766"
"000004149	022311.100	002.190271	0.154093	7.969877e-07	0.0e+00	00:11:03.938"
"000004150	022311.175	001.752584	0.155970	6.368540e-07	0.0e+00	00:11:04.094"
"000004151	022311.250	001.164766	0.158096	4.225999e-07	0.0e+00	00:11:04.250"
"000004152	022311.325	000.657921	0.159971	2.383821e-07	0.0e+00	00:11:04.406"
"000004153	022311.400	000.270749	0.162824	9.789693e-08	0.0e+00	00:11:04.578"
"000004154	022311.475	-00.200736	0.165142	-7.246044e-08	0.0e+00	00:11:04.735"
"000004155	022311.550	-00.471869	0.167266	-1.700717e-07	0.0e+00	00:11:04.891"
"000004156	022311.625	-00.757430	0.169328	-2.725886e-07	0.0e+00	00:11:05.063"
"000004157	022311.700	-00.898634	0.171209	-3.229686e-07	0.0e+00	00:11:05.219"
"000004158	022311.775	-01.052000	0.173803	-3.773847e-07	0.0e+00	00:11:05.375"
"000004159	022311.850	-00.908034	0.175943	-3.252404e-07	0.0e+00	00:11:05.531"
"000004160	022311.925	-00.817565	0.177842	-2.924380e-07	0.0e+00	00:11:05.703"
"000004161	022312.000	-00.484215	0.179654	-1.729768e-07	0.0e+00	00:11:05.860"
