"Index:	FREQUENCY:	AMPLITUDE:	BIAS:	GAMMA:	Pressure:	TimeMark:"
"000004108	022308.025	002.056274	0.098505	7.797751e-07	0.0e+00	00:11:33.500"
"000004109	022308.100	001.978808	0.100833	7.490756e-07	0.0e+00	00:11:33.656"
"000004110	022308.175	002.054665	0.103664	7.761282e-07	0.0e+00	00:11:33.828"
"000004111	022308.250	001.902495	0.105724	7.175308e-07	0.0e+00	00:11:33.985"
"000004112	022308.325	001.807915	0.107501	6.809465e-07	0.0e+00	00:11:34.156"
"000004113	022308.400	001.813043	0.109923	6.816348e-07	0.0e+00	00:11:34.313"
"000004114	022308.475	001.761525	0.112352	6.610584e-07	0.0e+00	00:11:34.485"
"000004115	022308.550	001.617107	0.114824	6.057380e-07	0.0e+00	00:11:34.641"
"000004116	022308.625	001.709967	0.116690	6.396272e-07	0.0e+00	00:11:34.813"
"000004117	022308.700	001.665551	0.119214	6.218389e-07	0.0e+00	00:11:34.969"
"000004118	022308.775	001.644265	0.121382	6.128994e-07	0.0e+00	00:11:35.141"
"000004119	022308.850	001.552280	0.123684	5.776213e-07	0.0e+00	00:11:35.297"
"000004120	022308.925	001.526383	0.126273	5.668922e-07	0.0e+00	00:11:35.469"
"000004121	022309.000	001.669559	0.127869	6.193327e-07	0.0e+00	00:11:35.625"
"000004122	022309.075	001.589795	0.130306	5.886794e-07	0.0e+00	00:11:35.797"
"000004123	022309.150	001.643283	0.132863	6.073353e-07	0.0e+00	00:11:35.953"
"000004124	022309.225	001.713161	0.135401	6.319756e-07	0.0e+00	00:11:36.125"
"000004125	022309.300	001.802302	0.137528	6.638176e-07	0.0e+00	00:11:36.281"
"000004126	022309.375	001.768692	0.139496	6.504954e-07	0.0e+00	00:11:36.453"
"000004127	022309.450	001.934007	0.141999	7.099884e-07	0.0e+00	00:11:36.610"
"000004128	022309.525	001.982589	0.144933	7.262588e-07	0.0e+00	00:11:36.781"
"000004129	022309.600	002.061836	0.146999	7.541465e-07	0.0e+00	00:11:36.938"
"000004130	022309.675	002.208344	0.149018	8.065432e-07	0.0e+00	00:11:37.110"
"000004131	022309.750	002.356396	0.151737	8.589093e-07	0.0e+00	00:11:37.266"
"000004132	022309.825	002.526294	0.153620	9.195752e-07	0.0e+00	00:11:37.438"
"000004133	022309.900	002.843595	0.156587	1.032843e-06	0.0e+00	00:11:37.594"
"000004134	022309.975	002.924241	0.159347	1.060009e-06	0.0e+00	00:11:37.766"
"000004135	022310.050	003.083917	0.161155	1.116427e-06	0.0e+00	00:11:37.922"
"000004136	022310.125	003.411298	0.163252	1.233072e-06	0.0e+00	00:11:38.094"
"000004137	022310.200	003.491051	0.165951	1.259442e-06	0.0e+00	00:11:38.250"
"000004138	022310.275	003.748557	0.168664	1.349699e-06	0.0e+00	00:11:38.422"
"000004139	022310.350	004.015117	0.170773	1.443484e-06	0.0e+00	00:11:38.578"
"000004140	022310.425	004.311621	0.172876	1.547741e-06	0.0e+00	00:11:38.750"
"000004141	022310.500	004.430653	0.175224	1.587793e-06	0.0e+00	00:11:38.906"
"000004142	022310.575	004.402985	0.178366	1.574332e-06	0.0e+00	00:11:39.078"
"000004143	022310.650	004.629366	0.180557	1.652687e-06	0.0e+00	00:11:39.235"
"000004144	022310.725	004.479924	0.182612	1.596993e-06	0.0e+00	00:11:39.406"
"000004145	022310.800	004.521505	0.185205	1.608842e-06	0.0e+00	00:11:39.563"
"000004146	022310.875	004.244919	0.187404	1.508067e-06	0.0e+00	00:11:39.735"
"000004147	022310.950	003.952457	0.190254	1.401328e-06	0.0e+00	00:11:39.891"
"000004148	022311.025	003.856199	0.192717	1.364817e-06	0.0e+00	00:11:40.063"
"000004149	022311.100	003.446842	0.194784	1.218151e-06	0.0e+00	00:11:40.219"
"000004150	022311.175	002.944367	0.197206	1.038793e-06	0.0e+00	00:11:40.391"
"000004151	022311.250	002.421485	0.199863	8.527180e-07	0.0e+00	00:11:40.563"
"000004152	022311.325	001.877591	0.202449	6.599855e-07	0.0e+00	00:11:40.719"
"000004153	022311.400	001.302860	0.205060	4.571248e-07	0.0e+00	00:11:40.891"
"000004154	022311.475	000.660751	0.206871	2.315385e-07	0.0e+00	00:11:41.047"
"000004155	022311.550	000.290424	0.208525	1.016516e-07	0.0e+00	00:11:41.219"
"000004156	022311.625	-00.132796	0.212018	-4.636669e-08	0.0e+00	00:11:41.375"
"000004157	022311.700	-00.614729	0.214260	-2.143019e-07	0.0e+00	00:11:41.547"
"000004158	022311.775	-00.987443	0.216211	-3.437667e-07	0.0e+00	00:11:41.703"
"000004159	022311.850	-00.954695	0.218685	-3.317945e-07	0.0e+00	00:11:41.875"
"000004160	022311.925	-01.076481	0.221549	-3.733764e-07	0.0e+00	00:11:42.031"
"000004161	022312.000	-00.986227	0.223865	-3.415232e-07	0.0e+00	00:11:42.203"
"000004162	022312.075	-00.864956	0.225498	-2.991897e-07	0.0e+00	00:11:42.360"
"000004163	022312.150	-00.697751	0.228031	-2.409308e-07	0.0e+00	00:11:42.531"
"000004164	022312.225	-00.185963	0.229963	-6.412680e-08	0.0e+00	00:11:42.688"
"000004165	022312.300	000.217906	0.232558	7.500773e-08	0.0e+00	00:11:42.860"
"000004166	022312.375	000.563612	0.234800	1.937079e-07	0.0e+00	00:11:43.016"
"000004167	022312.450	000.952116	0.237002	3.267381e-07	0.0e+00	00:11:43.188"
"000004168	022312.525	001.293274	0.239069	4.431846e-07	0.0e+00	00:11:43.344"
"000004169	022312.600	001.648993	0.241131	5.642866e-07	0.0e+00	00:11:43.516"
"000004170	022312.675	002.185355	0.244004	7.463623e-07	0.0e+00	00:11:43.672"
"000004171	022312.750	002.283011	0.245852	7.787319e-07	0.0e+00	00:11:43.844"
"000004172	022312.825	002.676966	0.247578	9.120355e-07	0.0e+00	00:11:44.000"
"000004173	022312.900	002.823260	0.249305	9.607468e-07	0.0e+00	00:11:44.172"
"000004174	022312.975	002.853270	0.251963	9.692057e-07	0.0e+00	00:11:44.328"
"000004175	022313.050	003.023386	0.254267	1.025386e-06	0.0e+00	00:11:44.500"
"000004176	022313.125	003.041278	0.255906	1.030309e-06	0.0e+00	00:11:44.656"
"000004177	022313.200	002.909701	0.257807	9.844658e-07	0.0e+00	00:11:44.828"
"000004178	022313.275	002.933259	0.259847	9.910681e-07	0.0e+00	00:11:44.985"
"000004179	022313.350	002.864000	0.262504	9.659335e-07	0.0e+00	00:11:45.156"
"000004180	022313.425	002.779661	0.264163	9.364407e-07	0.0e+00	00:11:45.313"
"000004181	022313.500	002.656405	0.266343	8.936044e-07	0.0e+00	00:11:45.485"
"000004182	022313.575	002.495080	0.267692	8.385739e-07	0.0e+00	00:11:45.641"
"000004183	022313.650	002.392552	0.269970	8.028857e-07	0.0e+00	00:11:45.813"
"000004184	022313.725	002.188558	0.272224	7.333209e-07	0.0e+00	00:11:45.969"
"000004185	022313.800	001.884032	0.274711	6.302326e-07	0.0e+00	00:11:46.141"
"000004186	022313.875	001.825807	0.275630	6.103807e-07	0.0e+00	00:11:46.297"
"000004187	022313.950	001.688310	0.277577	5.636805e-07	0.0e+00	00:11:46.469"
"000004188	022314.025	001.450027	0.280331	4.832356e-07	0.0e+00	00:11:46.625"
"000004189	022314.100	001.332473	0.282002	4.435658e-07	0.0e+00	00:11:46.797"
"000004190	022314.175	001.294201	0.283273	4.304609e-07	0.0e+00	00:11:46.953"
"000004191	022314.250	001.032828	0.284848	3.431671e-07	0.0e+00	00:11:47.125"
"000004192	022314.325	000.952468	0.286889	3.160378e-07	0.0e+00	00:11:47.281"
"000004193	022314.400	000.914557	0.288965	3.030413e-07	0.0e+00	00:11:47.453"
"000004194	022314.475	000.790286	0.290658	2.615700e-07	0.0e+00	00:11:47.610"
"000004195	022314.550	000.712514	0.291968	2.356249e-07	0.0e+00	00:11:47.781"
"000004196	022314.625	000.650847	0.293805	2.149705e-07	0.0e+00	00:11:47.953"
"000004197	022314.700	000.670093	0.295810	2.210348e-07	0.0e+00	00:11:48.110"
"000004198	022314.775	000.582692	0.297430	1.919995e-07	0.0e+00	00:11:48.281"
"000004199	022314.850	000.625523	0.299574	2.058217e-07	0.0e+00	00:11:48.438"
"000004200	022314.925	000.590579	0.300555	1.941986e-07	0.0e+00	00:11:48.610"
"000004201	022315.000	000.738210	0.301782	2.425477e-07	0.0e+00	00:11:48.766"
"000004202	022315.075	000.728819	0.304079	2.391013e-07	0.0e+00	00:11:48.938"
"000004203	022315.150	000.764840	0.305997	2.506033e-07	0.0e+00	00:11:49.094"
"000004204	022315.225	000.882274	0.307311	2.888324e-07	0.0e+00	00:11:49.266"
"000004205	022315.300	000.948117	0.308396	3.101674e-07	0.0e+00	00:11:49.422"
"000004206	022315.375	001.080148	0.310106	3.529651e-07	0.0e+00	00:11:49.578"
"000004207	022315.450	001.021712	0.311891	3.334806e-07	0.0e+00	00:11:49.750"
"000004208	022315.525	001.200441	0.313407	3.914294e-07	0.0e+00	00:11:49.906"
"000004209	022315.600	001.238230	0.314665	4.034202e-07	0.0e+00	00:11:50.078"
"000004210	022315.675	001.313685	0.316159	4.275875e-07	0.0e+00	00:11:50.235"
"000004211	022315.750	001.427148	0.317421	4.641369e-07	0.0e+00	00:11:50.406"
"000004212	022315.825	001.498257	0.319367	4.866471e-07	0.0e+00	00:11:50.578"
"000004213	022315.900	001.489341	0.320839	4.832888e-07	0.0e+00	00:11:50.735"
"000004214	022315.975	001.720346	0.321877	5.578739e-07	0.0e+00	00:11:50.906"
"000004215	022316.050	001.578955	0.323189	5.115883e-07	0.0e+00	00:11:51.063"
"000004216	022316.125	001.836001	0.324349	5.944257e-07	0.0e+00	00:11:51.235"
"000004217	022316.200	001.835702	0.326471	5.935132e-07	0.0e+00	00:11:51.391"
"000004218	022316.275	001.880106	0.327742	6.073706e-07	0.0e+00	00:11:51.563"
"000004219	022316.350	001.947070	0.328386	6.287416e-07	0.0e+00	00:11:51.719"
"000004220	022316.425	001.947860	0.329551	6.285242e-07	0.0e+00	00:11:51.891"
"000004221	022316.500	001.895362	0.331725	6.107275e-07	0.0e+00	00:11:52.047"
"000004222	022316.575	001.873469	0.332758	6.032715e-07	0.0e+00	00:11:52.219"
"000004223	022316.650	001.822583	0.333407	5.866407e-07	0.0e+00	00:11:52.375"
"000004224	022316.725	001.677670	0.334862	5.394915e-07	0.0e+00	00:11:52.547"
"000004225	022316.800	001.567946	0.336056	5.038206e-07	0.0e+00	00:11:52.703"
"000004226	022316.875	001.669511	0.337362	5.360061e-07	0.0e+00	00:11:52.875"
"000004227	022316.950	001.376204	0.338448	4.415304e-07	0.0e+00	00:11:53.031"
"000004228	022317.025	001.384391	0.339266	4.439240e-07	0.0e+00	00:11:53.203"
"000004229	022317.100	001.241200	0.340217	3.977653e-07	0.0e+00	00:11:53.360"
"000004230	022317.175	001.162078	0.341723	3.720501e-07	0.0e+00	00:11:53.531"
"000004231	022317.250	000.910394	0.343153	2.912043e-07	0.0e+00	00:11:53.688"
"000004232	022317.325	000.764459	0.343876	2.444118e-07	0.0e+00	00:11:53.860"
"000004233	022317.400	000.590107	0.344747	1.885630e-07	0.0e+00	00:11:54.016"
